,State,Electoral Vote of Each State,"William McKinley, of Ohio","William J. Bryan, of Nebraska","Theodore Roosevelt, of New York","Adlai E. Stevenson, of Illinois"
2,Alabama,11,-,11,-,11
3,Arkansas,8,-,8,-,8
4,California,9,9,-,9,-
5,Colorado,4,-,4,-,4
6,Connecticut,6,6,-,6,-
7,Delaware,3,3,-,3,-
8,Florida,4,-,4,-,4
9,Georgia,13,-,13,-,13
10,Idaho,3,-,3,-,3
11,Illinois,24,24,-,24,-
12,Indiana,15,15,-,15,-
13,Iowa,13,13,-,13,-
14,Kansas,10,10,-,10,-
15,Kentucky,13,-,13,-,13
16,Louisiana,8,-,8,-,8
17,Maine,6,6,-,6,-
18,Maryland,8,8,-,8,-
19,Massachusetts,15,15,-,15,-
20,Michigan,14,14,-,14,-
21,Minnesota,9,9,-,9,-
22,Mississippi,9,-,9,-,9
23,Missouri,17,-,17,-,17
24,Montana,3,-,3,-,3
25,Nebraska,8,8,-,8,-
26,Nevada,3,-,3,-,3
27,New Hampshire,4,4,-,4,-
28,New Jersey,10,10,-,10,-
29,New York,36,36,-,36,-
30,North Carolina,11,-,11,-,11
31,North Dakota,3,3,-,3,-
32,Ohio,23,23,-,23,-
33,Oregon,4,4,-,4,-
34,Pennsylvania,32,32,-,32,-
35,Rhode Island,4,4,-,4,-
36,South Carolina,9,-,9,-,9
37,South Dakota,4,4,-,4,-
38,Tennessee,12,-,12,-,12
39,Texas,15,-,15,-,15
40,Utah,3,3,-,3,-
41,Vermont,4,4,-,4,-
42,Virginia,12,-,12,-,12
43,Washington,4,4,-,4,-
44,West Virginia,6,6,-,6,-
45,Wisconsin,12,12,-,12,-
46,Wyoming,3,3,-,3,-
47,Totals,447,292,155,292,155
