,State,Electoral Vote of Each State,"Theodore Roosevelt, of New York","Alton B. Parker, of New York","Charles W. Fairbanks, of Indiana","Henry G. Davis, of West Virginia"
2,Alabama,11,-,11,-,11
3,Arkansas,9,-,9,-,9
4,California,10,10,-,10,-
5,Colorado,5,5,-,5,-
6,Connecticut,7,7,-,7,-
7,Delaware,3,3,-,3,-
8,Florida,5,-,5,-,5
9,Georgia,13,-,13,-,13
10,Idaho,3,3,-,3,-
11,Illinois,27,27,-,27,-
12,Indiana,15,15,-,15,-
13,Iowa,13,13,-,13,-
14,Kansas,10,10,-,10,-
15,Kentucky,13,-,13,-,13
16,Louisiana,9,-,9,-,9
17,Maine,6,6,-,6,-
18,Maryland,8,1,7,1,7
19,Massachusetts,16,16,-,16,-
20,Michigan,14,14,-,14,-
21,Minnesota,11,11,-,11,-
22,Mississippi,10,-,10,-,10
23,Missouri,18,18,-,18,-
24,Montana,3,3,-,3,-
25,Nebraska,8,8,-,8,-
26,Nevada,3,3,-,3,-
27,New Hampshire,4,4,-,4,-
28,New Jersey,12,12,-,12,-
29,New York,39,39,-,39,-
30,North Carolina,12,-,12,-,12
31,North Dakota,4,4,-,4,-
32,Ohio,23,23,-,23,-
33,Oregon,4,4,-,4,-
34,Pennsylvania,34,34,-,34,-
35,Rhode Island,4,4,-,4,-
36,South Carolina,9,-,9,-,9
37,South Dakota,4,4,-,4,-
38,Tennessee,12,-,12,-,12
39,Texas,18,-,18,-,18
40,Utah,3,3,-,3,-
41,Vermont,4,4,-,4,-
42,Virginia,12,-,12,-,12
43,Washington,5,5,-,5,-
44,West Virginia,7,7,-,7,-
45,Wisconsin,13,13,-,13,-
46,Wyoming,3,3,-,3,-
47,Totals,476,336,140,336,140
