,State,Electoral Vote of Each State,"William H. Taft, of Ohio","William J. Bryan, of Nebraska","James S. Sherman, of New York","John W. Kern, of Indiana"
2,Alabama,11,-,11,-,11
3,Arkansas,9,-,9,-,9
4,California,10,10,-,10,-
5,Colorado,5,-,5,-,5
6,Connecticut,7,7,-,7,-
7,Delaware,3,3,-,3,-
8,Florida,5,-,5,-,5
9,Georgia,13,-,13,-,13
10,Idaho,3,3,-,3,-
11,Illinois,27,27,-,27,-
12,Indiana,15,15,-,15,-
13,Iowa,13,13,-,13,-
14,Kansas,10,10,-,10,-
15,Kentucky,13,-,13,-,13
16,Louisiana,9,-,9,-,9
17,Maine,6,6,-,6,-
18,Maryland,8,2,6,2,6
19,Massachusetts,16,16,-,16,-
20,Michigan,14,14,-,14,-
21,Minnesota,11,11,-,11,-
22,Mississippi,10,-,10,-,10
23,Missouri,18,18,-,18,-
24,Montana,3,3,-,3,-
25,Nebraska,8,-,8,-,8
26,Nevada,3,-,3,-,3
27,New Hampshire,4,4,-,4,-
28,New Jersey,12,12,-,12,-
29,New York,39,39,-,39,-
30,North Carolina,12,-,12,-,12
31,North Dakota,4,4,-,4,-
32,Ohio,23,23,-,23,-
33,Oklahoma,7,-,7,-,7
34,Oregon,4,4,-,4,-
35,Pennsylvania,34,34,-,34,-
36,Rhode Island,4,4,-,4,-
37,South Carolina,9,-,9,-,9
38,South Dakota,4,4,-,4,-
39,Tennessee,12,-,12,-,12
40,Texas,18,-,18,-,18
41,Utah,3,3,-,3,-
42,Vermont,4,4,-,4,-
43,Virginia,12,-,12,-,12
44,Washington,5,5,-,5,-
45,West Virginia,7,7,-,7,-
46,Wisconsin,13,13,-,13,-
47,Wyoming,3,3,-,3,-
48,Totals,483,321,162,321,162
