,State,Electoral Vote of Each State,"Herbert C. Hoover, of California","Alfred E. Smith, of New York","Charles Curtis, of Kansas","Joseph T. Robinson, of Arkansas"
2,Alabama,12,-,12,-,12
3,Arizona,3,3,-,3,-
4,Arkansas,9,-,9,-,9
5,California,13,13,-,13,-
6,Colorado,6,6,-,6,-
7,Connecticut,7,7,-,7,-
8,Delaware,3,3,-,3,-
9,Florida,6,6,-,6,-
10,Georgia,14,-,14,-,14
11,Idaho,4,4,-,4,-
12,Illinois,29,29,-,29,-
13,Indiana,15,15,-,15,-
14,Iowa,13,13,-,13,-
15,Kansas,10,10,-,10,-
16,Kentucky,13,13,-,13,-
17,Louisiana,10,-,10,-,10
18,Maine,6,6,-,6,-
19,Maryland,8,8,-,8,-
20,Massachusetts,18,-,18,-,18
21,Michigan,15,15,-,15,-
22,Minnesota,12,12,-,12,-
23,Mississippi,10,-,10,-,10
24,Missouri,18,18,-,18,-
25,Montana,4,4,-,4,-
26,Nebraska,8,8,-,8,-
27,Nevada,3,3,-,3,-
28,New Hampshire,4,4,-,4,-
29,New Jersey,14,14,-,14,-
30,New Mexico,3,3,-,3,-
31,New York,45,45,-,45,-
32,North Carolina,12,12,-,12,-
33,North Dakota,5,5,-,5,-
34,Ohio,24,24,-,24,-
35,Oklahoma,10,10,-,10,-
36,Oregon,5,5,-,5,-
37,Pennsylvania,38,38,-,38,-
38,Rhode Island,5,-,5,-,5
39,South Carolina,9,-,9,-,9
40,South Dakota,5,5,-,5,-
41,Tennessee,12,12,-,12,-
42,Texas,20,20,-,20,-
43,Utah,4,4,-,4,-
44,Vermont,4,4,-,4,-
45,Virginia,12,12,-,12,-
46,Washington,7,7,-,7,-
47,West Virginia,8,8,-,8,-
48,Wisconsin,13,13,-,13,-
49,Wyoming,3,3,-,3,-
50,Totals,531,444,87,444,87
