,State,Electoral Vote of Each State,"Franklin D. Roosevelt, of New York","Alfred M. Landon, of Kansas","John N. Garner, of Texas","Frank Knox, of Illinois"
2,Alabama,11,11,-,11,-
3,Arizona,3,3,-,3,-
4,Arkansas,9,9,-,9,-
5,California,22,22,-,22,-
6,Colorado,6,6,-,9,-
7,Connecticut,8,8,-,8,-
8,Delaware,3,3,-,3,-
9,Florida,7,7,-,7,-
10,Georgia,12,12,-,12,-
11,Idaho,4,4,-,4,-
12,Illinois,29,29,-,29,-
13,Indiana,14,14,-,14,-
14,Iowa,11,11,-,11,-
15,Kansas,9,9,-,9,-
16,Kentucky,11,11,-,11,-
17,Louisiana,10,10,-,10,-
18,Maine,5,-,5,-,5
19,Maryland,8,8,-,8,-
20,Massachusetts,17,17,-,17,-
21,Michigan,19,19,-,19,-
22,Minnesota,11,11,-,11,-
23,Mississippi,9,9,-,9,-
24,Missouri,15,15,-,15,-
25,Montana,4,4,-,4,-
26,Nebraska,7,7,-,7,-
27,Nevada,3,3,-,3,-
28,New Hampshire,4,4,-,4,-
29,New Jersey,16,16,-,16,-
30,New Mexico,3,3,-,3,-
31,New York,47,47,-,47,-
32,North Carolina,13,13,-,13,-
33,North Dakota,4,4,-,4,-
34,Ohio,26,26,-,26,-
35,Oklahoma,11,11,-,11,-
36,Oregon,5,5,-,5,-
37,Pennsylvania,36,36,-,36,-
38,Rhode Island,4,4,-,4,-
39,South Carolina,8,8,-,8,-
40,South Dakota,4,4,-,4,-
41,Tennessee,11,11,-,11,-
42,Texas,23,23,-,23,-
43,Utah,4,4,-,4,-
44,Vermont,3,-,3,-,3
45,Virginia,11,11,-,11,-
46,Washington,8,8,-,8,-
47,West Virginia,8,8,-,8,-
48,Wisconsin,12,12,-,12,-
49,Wyoming,3,3,-,3,-
50,Totals,531,523,8,523,8
