,State,Electoral Vote of Each State,"Harry S. Truman, of Missouri","Thomas E. Dewey, of New York","J. Strom Thurmond, of South Carolina","Alben W. Barkley, of Kentucky","Earl Warren, of California","Fielding L. Wright, of Mississippi"
2,Alabama,11,-,-,11,-,-,11
3,Arizona,4,4,-,-,4,-,-
4,Arkansas,9,9,-,-,9,-,-
5,California,25,25,-,-,25,-,-
6,Colorado,6,6,-,-,6,-,-
7,Connecticut,8,-,8,-,-,8,-
8,Delaware,3,-,3,-,-,3,-
9,Florida,8,8,-,-,8,-,-
10,Georgia,12,12,-,-,12,-,-
11,Idaho,4,4,-,-,4,-,-
12,Illinois,28,28,-,-,28,-,-
13,Indiana,13,-,13,-,-,13,-
14,Iowa,10,10,-,-,10,-,-
15,Kansas,8,-,8,-,-,8,-
16,Kentucky,11,11,-,-,11,-,-
17,Louisiana,10,-,-,10,-,-,10
18,Maine,5,-,5,-,-,5,-
19,Maryland,8,-,8,-,-,8,-
20,Massachusetts,16,16,-,-,16,-,-
21,Michigan,19,-,19,-,-,19,-
22,Minnesota,11,11,-,-,11,-,-
23,Mississippi,9,-,-,9,-,-,9
24,Missouri,15,15,-,-,15,-,-
25,Montana,4,4,-,-,4,-,-
26,Nebraska,6,-,6,-,-,6,-
27,Nevada,3,3,-,-,3,-,-
28,New Hampshire,4,-,4,-,-,4,-
29,New Jersey,16,-,16,-,-,16,-
30,New Mexico,4,4,-,-,4,-,-
31,New York,47,-,47,-,-,47,-
32,North Carolina,14,14,-,-,14,-,-
33,North Dakota,4,-,4,-,-,4,-
34,Ohio,25,25,-,-,25,-,-
35,Oklahoma,10,10,-,-,10,-,-
36,Oregon,6,-,6,-,-,6,-
37,Pennsylvania,35,-,35,-,-,35,-
38,Rhode Island,4,4,-,-,4,-,-
39,South Carolina,8,-,-,8,-,-,8
40,South Dakota,4,-,4,-,-,4,-
41,Tennessee,12,11,-,1,11,-,1
42,Texas,23,23,-,-,23,-,-
43,Utah,4,4,-,-,4,-,-
44,Vermont,3,-,3,-,-,3,-
45,Virginia,11,11,-,-,11,-,-
46,Washington,8,8,-,-,8,-,-
47,West Virginia,8,8,-,-,8,-,-
48,Wisconsin,12,12,-,-,12,-,-
49,Wyoming,3,3,-,-,3,-,-
50,Totals,531,303,189,39,303,189,39
