,State,Electoral Vote of Each State,John F. Kennedy of Massachusetts,Richard M. Nixon of California,Harry F. Byrd of Virginia,Lyndon B. Johnson of Texas,Henry Cabot Lodge of Massachusetts,Strom Thurmond of South Carolina,Barry Goldwater of Arizona
2,Alabama,11,5,-,6,5,-,6,-
3,Alaska,3,-,3,-,-,3,-,-
4,Arizona,4,-,4,-,-,4,-,-
5,Arkansas,8,8,-,-,8,-,-,-
6,California,32,-,32,-,-,32,-,-
7,Colorado,6,-,6,-,-,6,-,-
8,Connecticut,8,8,-,-,8,-,-,-
9,Delaware,3,3,-,-,3,-,-,-
10,Florida,10,-,10,-,-,10,-,-
11,Georgia,12,12,-,-,12,-,-,-
12,Hawaii,3,3,-,-,3,-,-,-
13,Idaho,4,-,4,-,-,4,-,-
14,Illinois,27,27,-,-,27,-,-,-
15,Indiana,13,-,13,-,-,13,-,-
16,Iowa,10,-,10,-,-,10,-,-
17,Kansas,8,-,8,-,-,8,-,-
18,Kentucky,10,-,10,-,-,10,-,-
19,Louisiana,10,10,-,-,10,-,-,-
20,Maine,5,-,5,-,-,5,-,-
21,Maryland,9,9,-,-,9,-,-,-
22,Massachusetts,16,16,-,-,16,-,-,-
23,Michigan,20,20,-,-,20,-,-,-
24,Minnesota,11,11,-,-,11,-,-,-
25,Mississippi,8,-,-,8,-,-,8,-
26,Missouri,13,13,-,-,13,-,-,-
27,Montana,4,-,4,-,-,4,-,-
28,Nebraska,6,-,6,-,-,6,-,-
29,Nevada,3,3,-,-,3,-,-,-
30,New Hampshire,4,-,4,-,-,4,-,-
31,New Jersey,16,16,-,-,16,-,-,-
32,New Mexico,4,4,-,-,4,-,-,-
33,New York,45,45,-,-,45,-,-,-
34,North Carolina,14,14,-,-,14,-,-,-
35,North Dakota,4,-,4,-,-,4,-,-
36,Ohio,25,-,25,-,-,25,-,-
37,Oklahoma,8,-,7,1,-,7,-,1
38,Oregon,6,-,6,-,-,6,-,-
39,Pennsylvania,32,32,-,-,32,-,-,-
40,Rhode Island,4,4,-,-,4,-,-,-
41,South Carolina,8,8,-,-,8,-,-,-
42,South Dakota,4,-,4,-,-,4,-,-
43,Tennessee,11,-,11,-,-,11,-,-
44,Texas,24,24,-,-,24,-,-,-
45,Utah,4,-,4,-,-,4,-,-
46,Vermont,3,-,3,-,-,3,-,-
47,Virginia,12,-,12,-,-,12,-,-
48,Washington,9,-,9,-,-,9,-,-
49,West Virginia,8,8,-,-,8,-,-,-
50,Wisconsin,12,-,12,-,-,12,-,-
51,Wyoming,3,-,3,-,-,3,-,-
52,Totals,537,303,219,15,303,219,14,1
