,State,Electoral Vote of Each State,"Ronald Reagan,
        of
        California","Jimmy Carter,
        of
        Georgia","George Bush,
        of
        Texas","Walter F. Mondale,
        of
        Minnesota"
2,Alabama,9,9,-,9,-
3,Alaska,3,3,-,3,-
4,Arizona,6,6,-,6,-
5,Arkansas,6,6,-,6,-
6,California,45,45,-,45,-
7,Colorado,7,7,-,7,-
8,Connecticut,8,8,-,8,-
9,Delaware,3,3,-,3,-
10,District of Columbia,3,-,3,-,3
11,Florida,17,17,-,17,-
12,Georgia,12,-,12,-,12
13,Hawaii,4,-,4,-,4
14,Idaho,4,4,-,4,-
15,Illinois,26,26,-,26,-
16,Indiana,13,13,-,13,-
17,Iowa,8,8,-,8,-
18,Kansas,7,7,-,7,-
19,Kentucky,9,9,-,9,-
20,Louisiana,10,10,-,10,-
21,Maine,4,4,-,4,-
22,Maryland,10,-,10,-,10
23,Massachusetts,14,14,-,14,-
24,Michigan,21,21,-,21,-
25,Minnesota,10,-,10,-,10
26,Mississippi,7,7,-,7,-
27,Missouri,12,12,-,12,-
28,Montana,4,4,-,4,-
29,Nebraska,5,5,-,5,-
30,Nevada,3,3,-,3,-
31,New Hampshire,4,4,-,4,-
32,New Jersey,17,17,-,17,-
33,New Mexico,4,4,-,4,-
34,New York,41,41,-,41,-
35,North Carolina,13,13,-,13,-
36,North Dakota,3,3,-,3,-
37,Ohio,25,25,-,25,-
38,Oklahoma,8,8,-,8,-
39,Oregon,6,6,-,6,-
40,Pennsylvania,27,27,-,27,-
41,Rhode Island,4,-,4,-,4
42,South Carolina,8,8,-,8,-
43,South Dakota,4,4,-,4,-
44,Tennessee,10,10,-,10,-
45,Texas,26,26,-,26,-
46,Utah,4,4,-,4,-
47,Vermont,3,3,-,3,-
48,Virginia,12,12,-,12,-
49,Washington,9,9,-,9,-
50,West Virginia,6,-,6,-,6
51,Wisconsin,11,11,-,11,-
52,Wyoming,3,3,-,3,-
