year,president,party
1900,William McKinley,Republican
1901,William McKinley,Republican
1901,Theodore Roosevelt,Republican
1902,Theodore Roosevelt,Republican
1903,Theodore Roosevelt,Republican
1904,Theodore Roosevelt,Republican
1905,Theodore Roosevelt,Republican
1906,Theodore Roosevelt,Republican
1907,Theodore Roosevelt,Republican
1908,Theodore Roosevelt,Republican
1909,Theodore Roosevelt,Republican
1908,William H. Taft,Republican
1909,William H. Taft,Republican
1910,William H. Taft,Republican
1911,William H. Taft,Republican
1912,William H. Taft,Republican
1913,William H. Taft,Republican
1912,Woodrow Wilson,Democrat
1913,Woodrow Wilson,Democrat
1914,Woodrow Wilson,Democrat
1915,Woodrow Wilson,Democrat
1916,Woodrow Wilson,Democrat
1917,Woodrow Wilson,Democrat
1918,Woodrow Wilson,Democrat
1919,Woodrow Wilson,Democrat
1920,Woodrow Wilson,Democrat
1921,Woodrow Wilson,Democrat
1920,Warren G. Harding,Republican
1921,Warren G. Harding,Republican
1922,Warren G. Harding,Republican
1923,Warren G. Harding,Republican
1923,Calvin Coolidge,Republican
1924,Calvin Coolidge,Republican
1925,Calvin Coolidge,Republican
1926,Calvin Coolidge,Republican
1927,Calvin Coolidge,Republican
1928,Calvin Coolidge,Republican
1928,Herbert C. Hoover,Republican
1929,Herbert C. Hoover,Republican
1930,Herbert C. Hoover,Republican
1931,Herbert C. Hoover,Republican
1932,Herbert C. Hoover,Republican
1933,Franklin D. Roosevelt,Democrat
1934,Franklin D. Roosevelt,Democrat
1935,Franklin D. Roosevelt,Democrat
1936,Franklin D. Roosevelt,Democrat
1937,Franklin D. Roosevelt,Democrat
1938,Franklin D. Roosevelt,Democrat
1939,Franklin D. Roosevelt,Democrat
1940,Franklin D. Roosevelt,Democrat
1941,Franklin D. Roosevelt,Democrat
1942,Franklin D. Roosevelt,Democrat
1943,Franklin D. Roosevelt,Democrat
1944,Franklin D. Roosevelt,Democrat
1945,Franklin D. Roosevelt,Democrat
1945,Harry S. Truman,Democrat
1946,Harry S. Truman,Democrat
1947,Harry S. Truman,Democrat
1948,Harry S. Truman,Democrat
1949,Harry S. Truman,Democrat
1950,Harry S. Truman,Democrat
1951,Harry S. Truman,Democrat
1952,Harry S. Truman,Democrat
1953,Harry S. Truman,Democrat
1952,Dwight D. Eisenhower,Republican
1953,Dwight D. Eisenhower,Republican
1954,Dwight D. Eisenhower,Republican
1955,Dwight D. Eisenhower,Republican
1956,Dwight D. Eisenhower,Republican
1957,Dwight D. Eisenhower,Republican
1958,Dwight D. Eisenhower,Republican
1959,Dwight D. Eisenhower,Republican
1960,Dwight D. Eisenhower,Republican
1961,Dwight D. Eisenhower,Republican
1960,John F. Kennedy,Democrat
1961,John F. Kennedy,Democrat
1962,John F. Kennedy,Democrat
1963,John F. Kennedy,Democrat
1963,Lyndon B. Johnson,Democrat
1964,Lyndon B. Johnson,Democrat
1965,Lyndon B. Johnson,Democrat
1966,Lyndon B. Johnson,Democrat
1967,Lyndon B. Johnson,Democrat
1968,Lyndon B. Johnson,Democrat
1968,Richard M. Nixon,Republican
1969,Richard M. Nixon,Republican
1970,Richard M. Nixon,Republican
1971,Richard M. Nixon,Republican
1972,Richard M. Nixon,Republican
1973,Richard M. Nixon,Republican
1974,Richard M. Nixon,Republican
1974,Gerald R. Ford,Republican
1975,Gerald R. Ford,Republican
1976,Gerald R. Ford,Republican
1977,Gerald R. Ford,Republican
1977,Jimmy Carter,Democrat
1978,Jimmy Carter,Democrat
1979,Jimmy Carter,Democrat
1980,Jimmy Carter,Democrat
1981,Jimmy Carter,Democrat
1981,Ronald Reagan,Republican
1982,Ronald Reagan,Republican
1983,Ronald Reagan,Republican
1984,Ronald Reagan,Republican
1985,Ronald Reagan,Republican
1986,Ronald Reagan,Republican
1987,Ronald Reagan,Republican
1988,Ronald Reagan,Republican
1989,Ronald Reagan,Republican
1988,George Bush,Republican
1989,George Bush,Republican
1990,George Bush,Republican
1991,George Bush,Republican
1992,George Bush,Republican
1993,George Bush,Republican
1993,William J. Clinton,Democrat
1994,William J. Clinton,Democrat
1995,William J. Clinton,Democrat
1996,William J. Clinton,Democrat
1997,William J. Clinton,Democrat
1998,William J. Clinton,Democrat
1999,William J. Clinton,Democrat
2000,William J. Clinton,Democrat
2001,William J. Clinton,Democrat
2000,George W. Bush,Republican
2001,George W. Bush,Republican
2002,George W. Bush,Republican
2003,George W. Bush,Republican
2004,George W. Bush,Republican
2005,George W. Bush,Republican
2006,George W. Bush,Republican
2007,George W. Bush,Republican
2008,George W. Bush,Republican
2009,George W. Bush,Republican
2008,Barack Obama,Democrat
2009,Barack Obama,Democrat
2010,Barack Obama,Democrat
2011,Barack Obama,Democrat
2012,Barack Obama,Democrat
2013,Barack Obama,Democrat
2014,Barack Obama,Democrat
2015,Barack Obama,Democrat
2016,Barack Obama,Democrat
2016,Donald Trump,Republican
2017,Donald Trump,Republican
2018,Donald Trump,Republican
2019,Donald Trump,Republican
2020,Donald Trump,Republican
